recorder,time.cat
1,Morning
13,Afternoon
14,Afternoon
15,predusk
16,dusk
17,night
18,night
21,night
22,night
23,night
24,night
25,night
26,night
27,night
28,night
29,preDawn
32,Dawn
33,Morning
34,Morning
42,Afternoon
43,Afternoon
45,Afternoon
46,predusk
49,dusk
50,night
51,night
52,night
53,night
54,night
55,night
56,night
57,night
58,night
59,night
60,preDawn
61,Dawn
62,Morning
63,Morning
64,Morning
65,Morning
68,Afternoon
73,Afternoon
74,predusk
79,Morning
80,Morning
84,Morning
85,midday
87,Afternoon
88,Afternoon
91,dusk
92,night
93,night
94,night
95,night
96,night
97,night
98,night
99,night
100,night
101,night
102,preDawn
103,Dawn
104,Morning
105,Morning
106,Morning
110,Afternoon
111,Afternoon
112,Afternoon
char1,predusk
char2,predusk
char3,predusk